col1 col2
801.677 4.21604e-14
802.807 1.5219e-14
803.937 -4.24882e-16
805.067 5.47116e-15
806.196 1.69026e-14
807.326 1.496e-14
808.456 2.68901e-14
809.586 4.84076e-14
810.716 6.15386e-14
811.846 5.10856e-14
812.976 4.0584e-14
814.106 3.31487e-14
815.236 2.7088e-14
816.366 1.34825e-14
817.496 4.23187e-15
818.626 3.11811e-14
819.755 5.8603e-14
820.885 5.97978e-14
822.015 2.51411e-14
823.145 2.43753e-14
824.275 3.41673e-14
825.405 3.8018e-14
826.535 4.67318e-14
827.665 1.81645e-14
828.795 -2.06799e-14
829.925 -1.71296e-14
831.055 -4.23643e-15
832.185 -8.08416e-16
833.314 6.18814e-15
834.444 8.60542e-15
835.574 2.89306e-14
836.704 6.45652e-14
837.834 4.01411e-14
838.964 2.32173e-14
840.094 6.50142e-15
841.224 -4.71435e-15
842.354 3.36991e-14
843.484 6.31262e-14
844.614 8.77441e-14
845.744 5.81163e-14
846.873 -1.21377e-15
848.003 1.59247e-14
849.133 8.47768e-14
850.263 7.0211e-14
851.393 3.14704e-15
852.523 -1.53498e-14
853.653 5.68226e-14
854.783 8.75139e-14
855.913 7.81639e-14
857.043 2.37963e-14
858.173 -1.22992e-14
859.303 -1.37571e-14
860.432 9.05448e-16
861.562 1.29311e-14
862.692 1.06137e-14
863.822 2.3093e-14
864.952 4.79951e-14
866.082 5.04201e-14
867.212 3.10659e-14
868.342 4.76787e-14
869.472 2.81154e-14
870.602 2.22532e-14
871.732 2.69696e-14
872.862 1.1385e-14
873.992 8.55412e-15
875.121 3.18701e-14
876.251 3.28081e-14
877.381 2.48956e-14
878.511 2.15912e-14
879.641 2.14686e-14
880.771 2.69589e-14
881.901 4.0899e-14
883.031 6.79472e-14
884.161 6.88796e-14
885.291 6.09382e-14
886.421 5.93544e-14
887.551 9.88515e-14
888.68 1.06239e-13
889.81 9.33295e-14
890.94 1.05846e-13
892.07 1.11348e-13
893.2 1.00241e-13
894.33 9.30285e-14
895.46 1.10163e-13
896.59 1.15142e-13
897.72 1.01614e-13
898.85 9.39558e-14
899.98 8.06625e-14
901.109 7.28864e-14
902.239 7.51656e-14
903.369 7.95502e-14
904.499 8.28473e-14
905.629 8.54044e-14
906.759 9.24542e-14
907.889 8.78333e-14
909.019 8.27665e-14
910.149 7.44192e-14
911.279 8.02627e-14
912.409 7.89007e-14
913.539 8.31207e-14
914.669 8.34425e-14
915.798 9.32018e-14
916.928 9.38225e-14
918.058 9.91801e-14
919.188 1.05229e-13
920.318 1.09168e-13
921.448 1.0696e-13
922.578 1.10037e-13
923.708 1.20006e-13
924.838 1.27122e-13
925.968 1.19806e-13
927.098 1.17425e-13
928.228 1.30926e-13
929.357 1.42235e-13
930.487 1.48011e-13
931.617 1.48271e-13
932.747 1.44712e-13
933.877 1.37801e-13
935.007 1.27725e-13
936.137 1.20734e-13
937.267 1.15186e-13
938.397 1.03078e-13
939.527 9.42878e-14
940.657 1.04478e-13
941.787 1.18858e-13
942.917 1.21264e-13
944.046 1.26692e-13
945.176 1.36309e-13
946.306 1.29862e-13
947.436 1.20106e-13
948.566 1.09494e-13
949.696 1.12483e-13
950.826 1.26133e-13
951.956 1.32457e-13
953.086 1.32305e-13
954.216 1.38518e-13
955.346 1.37608e-13
956.476 1.30345e-13
957.605 1.16666e-13
958.735 1.09663e-13
959.865 1.10396e-13
960.995 1.15943e-13
962.125 1.12059e-13
963.255 1.15435e-13
964.385 1.28227e-13
965.515 1.41118e-13
966.645 1.47097e-13
967.775 1.42913e-13
968.905 1.40389e-13
970.034 1.45245e-13
971.164 1.49939e-13
972.294 1.45706e-13
973.424 1.39117e-13
974.554 1.39039e-13
975.684 1.50258e-13
976.814 1.56809e-13
977.944 1.53934e-13
979.074 1.44926e-13
980.204 1.44023e-13
981.334 1.49033e-13
982.464 1.5025e-13
983.594 1.54619e-13
984.723 1.58137e-13
985.853 1.56524e-13
986.983 1.51944e-13
988.113 1.48623e-13
989.243 1.55316e-13
990.373 1.60604e-13
991.503 1.57049e-13
992.633 1.45704e-13
993.763 1.41545e-13
994.893 1.46247e-13
996.023 1.43213e-13
997.153 1.38472e-13
998.282 1.38555e-13
999.412 1.34689e-13
1000.54 1.26769e-13
1001.67 1.28231e-13
1002.8 1.33834e-13
1003.93 1.36055e-13
1005.06 1.31689e-13
1006.19 1.28176e-13
1007.32 1.34675e-13
1008.45 1.43623e-13
1009.58 1.38646e-13
1010.71 1.31233e-13
1011.84 1.29957e-13
1012.97 1.34054e-13
1014.1 1.36084e-13
1015.23 1.45528e-13
1016.36 1.5353e-13
1017.49 1.55726e-13
1018.62 1.5699e-13
1019.75 1.65672e-13
1020.88 1.71346e-13
1022.01 1.73296e-13
1023.14 1.78136e-13
1024.27 1.79732e-13
1025.4 1.78242e-13
1026.53 1.82289e-13
1027.66 1.8914e-13
1028.79 1.90883e-13
1029.92 1.93599e-13
1031.05 1.96e-13
1032.18 2.00499e-13
1033.31 2.05701e-13
1034.44 2.12836e-13
1035.57 2.10843e-13
1036.7 2.01243e-13
1037.83 1.92031e-13
1038.96 1.91333e-13
1040.09 1.87979e-13
1041.22 1.7948e-13
1042.35 1.65503e-13
1043.48 1.57955e-13
1044.61 1.5755e-13
1045.74 1.55486e-13
1046.87 1.46114e-13
1048.0 1.35823e-13
1049.13 1.34011e-13
1050.26 1.38851e-13
1051.39 1.44611e-13
1052.52 1.39546e-13
1053.65 1.36983e-13
1054.78 1.39323e-13
1055.91 1.41456e-13
1057.04 1.40499e-13
1058.17 1.3845e-13
1059.3 1.36396e-13
1060.43 1.39466e-13
1061.56 1.46073e-13
1062.69 1.50679e-13
1063.82 1.49363e-13
1064.95 1.43585e-13
1066.08 1.37355e-13
1067.21 1.34471e-13
1068.34 1.38134e-13
1069.47 1.40487e-13
1070.6 1.39926e-13
1071.73 1.40702e-13
1072.86 1.43169e-13
1073.99 1.43469e-13
1075.12 1.41486e-13
1076.25 1.38334e-13
1077.38 1.38036e-13
1078.51 1.38986e-13
1079.64 1.38865e-13
1080.77 1.36971e-13
1081.9 1.34453e-13
1083.03 1.33359e-13
1084.16 1.34162e-13
1085.29 1.34935e-13
1086.42 1.29944e-13
1087.55 1.22429e-13
1088.68 1.18274e-13
1089.81 1.18745e-13
1090.94 1.19925e-13
1092.07 1.24916e-13
1093.2 1.28055e-13
1094.33 1.27416e-13
1095.46 1.24689e-13
1096.59 1.22549e-13
1097.72 1.2199e-13
1098.85 1.1957e-13
1099.98 1.20448e-13
1101.1 1.23837e-13
1102.23 1.262e-13
1103.36 1.25611e-13
1104.49 1.22736e-13
